Place FIPS,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,0.2 PCT ANNUAL CHANCE FLOOD HAZARD CONTAINED IN CHANNEL,0.2 PCT ANNUAL CHANCE HAZARD,A,AE,VE,(blank),Grand Total
3734000.00,3.07,,,,10.52,,,13.59
3734038.00,9.97,,,,7.47,,,17.44
3734160.00,1.10,,,,6.45,,,7.55
3734200.00,0.92,,,,24.20,,,25.12
3734260.00,2.02,,,,51.23,,,53.25
3734300.00,2.07,,,,9.30,,,11.37
3734320.00,2.88,,,,25.37,,,28.25
3734440.00,0.34,,,,3.00,,,3.33
3734840.00,2.76,,,,13.08,,,15.84
3735200.00,0.71,,,,8.84,,,9.55
3735340.00,,,,,1.88,,,1.88
3735360.00,,,,,13.09,,,13.09
3735440.00,,,,,99.42,,,99.42
3735460.00,,,,,9.75,,,9.75
3735540.00,0.68,,,,7.02,,,7.70
3735600.00,0.45,,,,4.83,,,5.27
3735720.00,34.46,,,0.37,57.02,7.30,,99.16
3735760.00,0.35,,,0.00,2.17,,,2.52
3735870.00,1.88,,,,13.84,,,15.72
3735880.00,0.35,,,,2.79,,,3.14
3735890.00,,,,,4.87,,,4.87
3735920.00,4.66,,,,20.66,,,25.32
3736060.00,19.43,,,,76.82,3.09,,99.35
3736080.00,0.79,,,0.10,5.87,,,6.75
3736220.00,24.12,,,,2.08,21.95,,48.15
3736400.00,0.23,,,,2.20,,,2.43
3736480.00,,,0.44,,8.12,,,8.56
3736500.00,0.06,,,,11.44,,,11.50
3736510.00,,,,,27.69,,,27.69
3736511.00,,,,,48.42,,,48.42
3736512.00,0.02,,,,1.61,,,1.63
3736513.00,0.50,,,,15.10,,,15.60
3736514.00,,,,,9.49,,,9.49
3736640.00,5.14,,,4.31,15.07,,,24.51
3736860.00,0.19,,,,6.27,,,6.45
3736960.00,1.42,,,,18.47,,,19.89
3737000.00,,,,,0.03,,,0.03
3737120.00,,,,,7.98,,,7.98
3737160.00,,,0.50,,1.13,,,1.63
3737220.00,0.27,,,,6.59,,,6.86
3737260.00,,,,,13.21,,,13.21
3737640.00,0.64,,,,10.11,,,10.75
3737680.00,1.94,,,2.42,15.34,,,19.70
3737760.00,1.69,,,0.03,11.25,,,12.97
3738030.00,1.18,,,,4.36,,,5.54
3738040.00,0.18,,,,1.82,,,2.00
3738060.00,0.70,,,,7.67,,,8.37
3738100.00,,,,,1.77,,,1.77
3738170.00,0.08,,,,0.27,,,0.35
3738220.00,5.10,,,,9.97,,,15.07
3738320.00,1.14,,,,7.33,,,8.47
3738360.00,26.32,,,,0.01,,,26.33
3738420.00,1.50,,,,5.77,,,7.27
3738860.00,0.07,,,,1.51,,,1.58
3739060.00,7.90,,,,31.12,,,39.01
3739280.00,0.41,,,,3.43,,,3.84
3739360.00,2.81,,,,13.39,,,16.19
3739480.00,0.45,,,,0.83,,,1.28
3739520.00,,,,,2.60,,,2.60
3739540.00,,,,,3.50,,,3.50
3739600.00,0.14,,,,1.38,,,1.52
3739680.00,,,,,10.37,,,10.37
3739700.00,15.15,,,,29.74,,,44.88
3739880.00,1.84,,,,14.08,,,15.91
3739960.00,0.11,,,,0.71,,,0.82
3740140.00,,,,,1.95,,,1.95
3740460.00,1.56,,,,3.49,,,5.05
3740560.00,5.10,,,,19.05,,,24.15
3740600.00,,,3.22,,11.22,,,14.44
3740660.00,0.33,,,,8.72,,,9.05
3740860.00,,,,,0.37,,,0.37
3740980.00,1.95,,,,95.28,2.77,,100.00
3741060.00,1.50,,,,96.52,1.98,,100.00
3741220.00,2.73,,,,4.48,,,7.20
3741380.00,,,,,7.30,,,7.30
3741420.00,0.91,,,,6.05,,,6.97
3741540.00,2.62,,,,21.64,,,24.26
3741580.00,,,0.97,,10.37,,,11.34
3741600.00,2.27,,,,97.73,,,100.00
3741620.00,1.03,,,,3.08,,,4.10
3741640.00,0.03,,,,3.21,,,3.23
3741720.00,0.92,,,,6.68,,,7.60
3741960.00,0.00,,,,2.27,,,2.27
3742020.00,0.04,,,,8.37,,,8.41
